# E_F [meV] ,   THG@295K ,  THG @ 33K
 298.9518556, 2.003375295, 6.194981010
 293.9270968, 2.213146729, 5.839566354
 288.8149312, 1.800692985, 5.645753110
 283.6106323, 1.696866466, 5.141301815
 278.3090315, 1.755756468, 4.873661709
 272.9044582, 1.829446738, 4.553797666
 267.3906684, 1.731723098, 4.316892643
 261.7607607, 1.201233182, 3.555470255
 256.0070743, 1.372034977, 3.434718439
 250.1210674, 1.447113779, 3.229947163
 244.0931679, 1.239325539, 3.019988785
 237.9125909, 1.208475831, 2.773472273
 231.5671116, 1.080569551, 2.578313712
 225.0427813, 0.992123905, 2.421978652
 218.3235665, 0.957240420, 2.235752824
 211.3908843, 1.110281481, 2.281416011
 204.2229964, 0.849995528, 1.887316282
 196.7942034, 0.926398036, 1.869618674
 189.0737549, 0.577398262, 1.688369756
 181.0243383, 0.461037577, 1.284367017
 172.5999343, 0.510054814, 1.314282193
 163.7426749, 0.516411601, 1.006440582
 154.3780744, 0.525103921, 1.040488122
 144.4074656, 0.204479765, 0.765681726
 133.6953342, 0.426387473, 0.752114308
 122.0465840, 0.344252597, 0.808433755
 109.1617833, 0.422151837, 0.851053736
  94.5368774, 0.378180799, 0.784409452
  77.1890371, 0.281168538, 0.833833137
  54.5808913, 0.475281542, 0.687694036
   0.0000000, 0.347023749, 0.980142084
 -54.5808916, 0.387250368, 0.939122041
 -77.1890371, 0.263647874, 0.736259422
 -94.5368774, 0.383081610, 0.796971041
-109.1617833, 0.503841366, 0.753502758
-122.0465840, 0.480972590, 0.814600975
-133.6953342, 0.172021416, 0.603804281
-144.4074656, 0.264291818, 0.782104305
-154.3780744, 0.451534404, 0.880237887
-163.7426749, 0.295856203, 1.032656321
-172.5999343, 0.489060295, 1.124346148
-181.0243383, 0.679553450, 1.614479114
-189.0737549, 0.463248651, 1.460747020
-196.7942034, 0.731322488, 1.721659430
-204.2229964, 0.658289466, 1.753768378
-211.3908843, 0.741915159, 2.109440680
-218.3235665, 1.063138907, 2.297087942
-225.0427813, 1.097162157, 2.239822158
-231.5671116, 1.212232751, 2.458524454
-237.9125909, 1.354890071, 2.755321700
-244.0931679, 1.510089097, 3.208317637
-250.1210674, 1.348173875, 3.113778591
-256.0070743, 1.333390857, 3.652003397
-261.7607607, 1.455837497, 3.973436168
-267.3906684, 1.697738130, 4.200291303
-272.9044582, 1.611410833, 4.363518641
-278.3090315, 2.069330614, 4.765833404
-283.6106323, 1.995677196, 5.086326655
-288.8149312, 1.785224597, 5.353926664
-293.9270968, 2.043982696, 5.705429752
-298.9518556, 2.050116420, 5.805724380
